geneID	chr	start	end
LOC100116486	NC_045757.1	10688021	10691812
LOC100116487	NW_022279616.1	48145	335556
LOC100116488	NC_045757.1	2480971	2484272
LOC100116491	NC_045759.1	21139881	21143554
LOC100116494	NC_045761.1	12345174	12346529
LOC100116495	NC_045759.1	13449819	13464233
LOC100116496	NC_045759.1	18121790	18125612
LOC100116497	NC_045758.1	35118285	35121365
LOC100116498	NC_045760.1	7925270	7929771
LOC100116501	NC_045758.1	9373395	9375409
LOC100116502	NC_045757.1	30134476	30141087
LOC100116503	NC_045760.1	10685853	10688051
LOC100116505	NC_045758.1	2473463	2475088
LOC100116507	NC_045759.1	3873959	3876212
LOC100116508	NW_022279620.1	367088	429004
LOC100116509	NC_045760.1	4723008	4730988
LOC100116511	NC_045757.1	19890846	19892582
LOC100116513	NC_045760.1	19512540	19516350
LOC100116516	NC_045759.1	10634548	10639352
LOC100116518	NC_045761.1	16445288	16531557
LOC100116519	NC_045758.1	99203	101460
LOC100116521	NW_022279617.1	3553664	3557511
LOC100116522	NC_045757.1	4147665	4149336
LOC100116523	NC_045757.1	10679286	10684930
LOC100116524	NC_045757.1	2484377	2487996
LOC100116525	NC_045761.1	19812910	19818186
LOC100116526	NC_045759.1	21148972	21164782
LOC100116528	NC_045757.1	31303207	31635404
LOC100116530	NC_045757.1	7383894	7387578
LOC100116532	NC_045758.1	35116073	35118172
LOC100116533	NC_045757.1	24919515	24922039
LOC100116534	NC_045760.1	7934827	7938913
LOC100116536	NC_045757.1	30127027	30133981
LOC100116537	NC_045758.1	2476992	2478997
LOC100116538	NC_045758.1	20530685	20534987
LOC100116540	NC_045759.1	3941059	3953242
LOC100116543	NC_045760.1	4723694	4726756
LOC100116545	NC_045757.1	20788443	21085942
LOC100116547	NC_045760.1	19477012	19480555
LOC100116550	NC_045757.1	37474852	37482355
LOC100116551	NC_045759.1	10640155	10648554
LOC100116552	NC_045760.1	32693288	32697618
LOC100116553	NC_045758.1	35803	38318
LOC100116554	NC_045758.1	21217537	21220634
LOC100116555	NC_045757.1	4149384	4152119
LOC100116561	NC_045759.1	13494495	13521029
LOC100116562	NW_022279622.1	148136	240437
LOC100116563	NC_045757.1	7338940	7345961
LOC100116564	NC_045758.1	35110559	35116081
LOC100116565	NC_045757.1	24921179	24929937
LOC100116566	NC_045761.1	27682574	27703080
LOC100116567	NC_045758.1	9369990	9371729
LOC100116569	NC_045760.1	14695662	14700253
LOC100116570	NC_045760.1	10628357	10659505
LOC100116571	NC_045758.1	2479666	2488626
LOC100116573	NC_045759.1	3955361	3957424
LOC100116578	NC_045759.1	10639517	10654444
LOC100116581	NC_045761.1	16596167	16601907
LOC100116582	NC_045758.1	760844	769336
LOC100116583	NC_045758.1	21221729	21228721
LOC100116584	NC_045757.1	4150810	4155680
LOC100116588	NC_045759.1	21176692	21205072
LOC100116591	NC_045757.1	7312510	7313520
LOC100116594	NC_045758.1	35106916	35110472
LOC100116596	NC_045760.1	16635820	16756169
LOC100116597	NW_022279638.1	4294898	4432294
LOC100116598	NC_045760.1	7944271	7985520
LOC100116600	NC_045760.1	14685878	14692397
LOC100116601	NC_045760.1	10618003	10732872
LOC100116603	NC_045758.1	2481226	2492240
LOC100116611	NC_045758.1	20354881	20366828
LOC100116612	NC_045760.1	26205010	26206837
LOC100116614	NC_045757.1	37466066	37472408
LOC100116615	NC_045757.1	16627655	16735859
LOC100116616	NC_045760.1	32684629	32691801
LOC100116620	NC_045758.1	21228332	21230300
LOC100116625	NC_045757.1	26384257	26395135
LOC100116629	NC_045759.1	21205389	21270561
LOC100116632	NC_045757.1	7308512	7310225
LOC100116633	NC_045759.1	18151786	18152779
LOC100116635	NC_045758.1	35103109	35108157
LOC100116636	NC_045757.1	24933369	24937564
LOC100116638	NC_045761.1	27676302	27681046
LOC100116640	NC_045758.1	9365902	9367574
LOC100116642	NC_045757.1	30068311	30072167
LOC100116643	NC_045760.1	14675978	14678622
LOC100116646	NC_045758.1	2492122	2500714
LOC100116647	NC_045759.1	4170117	4171307
LOC100116648	NC_045760.1	4700187	4712908
LOC100116651	NC_045760.1	26020350	26021019
LOC100116652	NC_045757.1	37452130	37463835
LOC100116653	NC_045758.1	24007341	24008535
LOC100116657	NC_045758.1	21229894	21238567
LOC100116659	NC_045757.1	10678308	10679274
LOC100116660	NC_045761.1	15336191	15348498
LOC100116662	NC_045757.1	26378654	26380568
LOC100116664	NW_022279623.1	59696	82886
LOC100116665	NC_045759.1	21275431	21281708
LOC100116668	NC_045757.1	31682005	31836124
LOC100116669	NW_022279622.1	259029	352513
LOC100116671	NC_045759.1	18152646	18157393
LOC100116672	NC_045758.1	35103269	35105772
LOC100116673	NC_045760.1	16765584	16768474
LOC100116677	NC_045761.1	27671735	27675390
LOC100116678	NC_045760.1	14667534	14673541
LOC100116681	NC_045759.1	4511952	4513190
LOC100116682	NC_045760.1	4694548	4697332
LOC100116683	NC_045757.1	5265070	5386615
LOC100116685	NC_045760.1	25972096	25973316
LOC100116686	NC_045757.1	37447816	37451887
LOC100116690	NW_022279652.1	2336589	2430211
LOC100116691	NC_045757.1	32604510	32616030
LOC100116693	NC_045758.1	723512	728663
LOC100116694	NC_045758.1	21246562	21250256
LOC100116695	NW_022279617.1	3497051	3498954
LOC100116697	NC_045757.1	9698246	9701723
LOC100116698	NC_045761.1	15348805	15356261
LOC100116700	NC_045757.1	2758869	2760203
LOC100116701	NW_022279623.1	82544	147481
LOC100116702	NC_045757.1	31849136	31852833
LOC100116704	NC_045759.1	18157891	18167800
LOC100116705	NW_022279610.1	1379282	1682999
LOC100116706	NW_022279628.1	643389	674004
LOC100116707	NC_045760.1	16768130	16770377
LOC100116709	NW_022279623.1	4179684	4183795
LOC100116712	NC_045757.1	30033010	30037241
LOC100116713	NC_045760.1	14664458	14667705
LOC100116714	NC_045760.1	10588659	10613241
LOC100116717	NC_045758.1	2501252	2505279
LOC100116719	NC_045759.1	4672741	4675713
LOC100116721	NC_045760.1	4676773	4694818
LOC100116726	NC_045757.1	5250398	5263365
LOC100116729	NC_045760.1	25871781	25874028
LOC100116730	NC_045757.1	37443422	37447860
LOC100116733	NC_045759.1	10701248	10716670
LOC100116734	NC_045760.1	32684303	32686319
LOC100116736	NW_022279608.1	3287166	3401824
LOC100116737	NC_045758.1	721663	723432
LOC100116738	NC_045758.1	21250379	21254474
LOC100116740	NC_045757.1	9302424	9304709
LOC100116741	NC_045761.1	15359208	15368204
LOC100116742	NC_045757.1	26353290	26358931
LOC100116743	NC_045757.1	2770984	2771466
LOC100116744	NW_022279784.1	54482	71025
LOC100116746	NC_045759.1	13538453	13558576
LOC100116747	NC_045757.1	7297471	7299562
LOC100116750	NC_045758.1	35093855	35101446
LOC100116751	NC_045757.1	24964926	24966527
LOC100116753	NC_045759.1	23138456	23141980
LOC100116754	NW_022279623.1	4167983	4179506
LOC100116757	NC_045760.1	14660472	14664705
LOC100116758	NC_045760.1	10588997	10600682
LOC100116759	NC_045759.1	4823927	4825275
LOC100116760	NC_045760.1	4672686	4674867
LOC100116762	NC_045757.1	20004348	20006169
LOC100116763	NC_045757.1	5246746	5248623
LOC100116764	NC_045760.1	25873688	25875543
LOC100116766	NC_045757.1	37441707	37443168
LOC100116768	NC_045759.1	10720060	10722526
LOC100116769	NC_045760.1	32678210	32680470
LOC100116770	NC_045758.1	713189	719042
LOC100116772	NC_045761.1	15367619	15376789
LOC100116775	NC_045757.1	2835667	2839310
LOC100116776	NC_045759.1	21287026	21296113
LOC100116777	NC_045759.1	13559055	13565436
LOC100116778	NC_045759.1	18173257	18175325
LOC100116779	NC_045758.1	35090561	35093440
LOC100116782	NW_022279623.1	4164963	4168024
LOC100116784	NC_045760.1	14658981	14660710
LOC100116785	NC_045760.1	10586584	10588658
LOC100116786	NC_045758.1	2505084	2533859
LOC100116787	NC_045759.1	4986845	4988524
LOC100116788	NC_045760.1	4671217	4672735
LOC100116789	NW_022279593.1	392185	478268
LOC100116792	NC_045760.1	25837575	25840680
LOC100116794	NC_045759.1	10725209	10732025
LOC100116796	NC_045758.1	21264049	21271217
LOC100116797	NW_022279617.1	3360254	3483310
LOC100116798	NC_045757.1	4155859	4211682
LOC100116799	NC_045757.1	8884272	8887057
LOC100116800	NC_045761.1	15377742	15378671
LOC100116801	NC_045757.1	26305699	26306817
LOC100116803	NC_045757.1	2881284	2895322
LOC100116807	NC_045759.1	21296684	21299302
LOC100116811	NC_045758.1	33300625	33477491
LOC100116812	NC_045758.1	35088295	35090491
LOC100116814	NC_045759.1	23319794	23322806
LOC100116816	NC_045761.1	27625639	27651939
LOC100116817	NW_022279623.1	4162055	4164941
LOC100116818	NC_045758.1	9344966	9350640
LOC100116821	NC_045758.1	2534282	2550894
LOC100116824	NW_022279614.1	2359455	2696895
LOC100116826	NC_045757.1	5242313	5245918
LOC100116827	NC_045757.1	20764786	20767968
LOC100116828	NW_022279641.1	289107	293305
LOC100116829	NC_045760.1	32660629	32678867
LOC100116833	NC_045757.1	8790662	8808245
LOC100116834	NC_045761.1	15376982	15384448
LOC100116837	NC_045757.1	26288952	26320659
LOC100116838	NC_045757.1	2974650	2976546
LOC100116840	NC_045758.1	33293484	33298466
LOC100116841	NC_045758.1	35085836	35088507
LOC100116843	NC_045759.1	23322749	23325166
LOC100116845	NW_022279623.1	4160235	4161981
LOC100116846	NC_045758.1	9340754	9345175
LOC100116847	NW_022279646.1	2563470	2926253
LOC100116848	NC_045760.1	14508690	14656357
LOC100116850	NC_045760.1	10552675	10573050
LOC100116851	NC_045758.1	2551936	2564483
LOC100116852	NC_045759.1	5379369	5381705
LOC100116855	NC_045757.1	5231179	5239941
LOC100116856	NC_045757.1	20763110	20764675
LOC100116858	NC_045760.1	26228887	26238838
LOC100116859	NC_045757.1	37426434	37431189
LOC100116861	NC_045760.1	32655174	32660028
LOC100116863	NC_045758.1	21277960	21282305
LOC100116864	NC_045757.1	8731847	8734421
LOC100116866	NC_045757.1	26265041	26287141
LOC100116867	NC_045760.1	14937636	15022929
LOC100116868	NC_045757.1	3106284	3157316
LOC100116869	NC_045761.1	19664812	19692018
LOC100116870	NC_045757.1	32003682	32008827
LOC100116872	NC_045758.1	33283989	33292374
LOC100116873	NC_045758.1	35083509	35085737
LOC100116874	NC_045759.1	23351899	23353771
LOC100116875	NC_045761.1	27516772	27569929
LOC100116876	NW_022279623.1	4146116	4152589
LOC100116878	NC_045760.1	14498254	14507884
LOC100116879	NC_045760.1	10542953	10552116
LOC100116880	NC_045759.1	5576479	5578841
LOC100116884	NC_045757.1	5221891	5228488
LOC100116887	NC_045759.1	9989305	9995467
LOC100116888	NC_045757.1	37423571	37426717
LOC100116889	NC_045760.1	23646878	23657049
LOC100116893	NC_045760.1	32647022	32655829
LOC100116895	NC_045758.1	600401	710968
LOC100116896	NC_045758.1	21282578	21288392
LOC100116897	NC_045757.1	8184951	8187790
LOC100116900	NC_045757.1	26236126	26258063
LOC100116902	NC_045757.1	3325035	3328104
LOC100116903	NC_045761.1	19704196	19709099
LOC100116904	NC_045758.1	24540719	24779601
LOC100116906	NC_045757.1	32008558	32010548
LOC100116908	NC_045759.1	13634961	13637142
LOC100116909	NC_045758.1	33280952	33284996
LOC100116910	NC_045758.1	35076993	35083420
LOC100116911	NW_022279591.1	1357979	1700610
LOC100116912	NC_045760.1	16817551	16868055
LOC100116913	NC_045761.1	13865997	13878236
LOC100116917	NC_045760.1	8128773	8135190
LOC100116918	NC_045761.1	27510033	27514833
LOC100116919	NW_022279623.1	4122175	4123572
LOC100116921	NC_045760.1	14488146	14495156
LOC100116923	NC_045758.1	2579132	2581714
LOC100116924	NC_045759.1	5601001	5603997
LOC100116925	NC_045760.1	4581441	4586197
LOC100116926	NC_045757.1	5214702	5216389
LOC100116927	NC_045757.1	20758684	20761514
LOC100116930	NC_045759.1	9945636	9947145
LOC100116934	NC_045757.1	37407033	37422263
LOC100116936	NC_045759.1	10761072	10765798
LOC100116937	NC_045758.1	7877171	7879805
LOC100116938	NC_045761.1	16663481	16671161
LOC100116939	NC_045758.1	444238	526177
LOC100116940	NC_045758.1	21290328	21323991
LOC100116941	NC_045757.1	8155627	8160993
LOC100116942	NC_045761.1	15395523	15483594
LOC100116943	NC_045757.1	16953856	17278396
LOC100116946	NC_045757.1	3443116	3444611
LOC100116949	NC_045757.1	32024994	32026689
LOC100116950	NC_045759.1	13637285	13640243
LOC100116951	NC_045758.1	33278636	33281183
LOC100116954	NC_045761.1	13845414	13846754
LOC100116955	NC_045759.1	23779344	23781675
LOC100116956	NC_045761.1	27502567	27509632
LOC100116958	NW_022279623.1	4031483	4159958
LOC100116960	NC_045760.1	10532581	10541045
LOC100116961	NC_045758.1	2581652	2583203
LOC100116964	NC_045760.1	4578235	4580106
LOC100116966	NC_045757.1	5210142	5214630
LOC100116970	NC_045760.1	26220168	26223554
LOC100116971	NC_045757.1	37403299	37406934
LOC100116973	NC_045758.1	7779051	7816074
LOC100116974	NW_022279593.1	1375267	1929405
LOC100116975	NC_045760.1	32641392	32646779
LOC100116976	NW_022279652.1	2472502	2636009
LOC100116980	NC_045757.1	4225383	4227782
LOC100116984	NC_045761.1	19715003	19716262
LOC100116985	NC_045759.1	21308943	21310300
LOC100116986	NC_045757.1	32027081	32029231
LOC100116987	NC_045758.1	33269490	33277308
LOC100116989	NC_045758.1	35064275	35069146
LOC100116993	NC_045760.1	8136470	8140490
LOC100116995	NW_022279623.1	4020246	4031382
LOC100116996	NC_045758.1	9276071	9285649
LOC100116998	NC_045760.1	14445953	14472377
LOC100116999	NC_045758.1	18835323	18842637
LOC100117000	NC_045760.1	4568188	4571321
LOC100117001	NC_045757.1	5207117	5210419
LOC100117008	NC_045758.1	7500340	7501870
LOC100117009	NC_045760.1	32638757	32641532
LOC100117010	NC_045761.1	16671134	16676981
LOC100117011	NC_045758.1	433854	440073
LOC100117012	NC_045757.1	4228726	4301881
LOC100117013	NC_045757.1	8135968	8139605
LOC100117016	NC_045761.1	15462430	15474968
LOC100117018	NC_045757.1	3532853	3542045
LOC100117019	NC_045761.1	19716463	19718120
LOC100117020	NC_045759.1	21310095	21312276
LOC100117021	NC_045758.1	27912912	27914813
LOC100117022	NC_045757.1	32012189	32037521
LOC100117024	NC_045758.1	33267866	33269494
LOC100117025	NC_045758.1	35059504	35064044
LOC100117027	NC_045759.1	23971308	23977896
LOC100117028	NC_045760.1	8140541	8142727
LOC100117029	NC_045761.1	27489493	27493655
LOC100117033	NC_045760.1	14435618	14439413
LOC100117034	NC_045760.1	10522558	10531651
LOC100117035	NC_045758.1	18687441	18800915
LOC100117036	NC_045758.1	2584893	2596453
LOC100117041	NC_045760.1	4564150	4568161
LOC100117045	NC_045757.1	5204096	5206998
LOC100117047	NC_045759.1	9234636	9235277
LOC100117049	NC_045760.1	26217501	26219118
LOC100117050	NC_045757.1	37399214	37403082
LOC100117051	NC_045759.1	10765833	10774567
LOC100117052	NC_045758.1	7911239	7920271
LOC100117054	NC_045760.1	32635262	32638944
LOC100117055	NC_045761.1	16678965	16682645
LOC100117057	NC_045758.1	431908	434266
LOC100117058	NC_045757.1	7873236	7879396
LOC100117060	NC_045757.1	3542519	3545144
LOC100117061	NC_045761.1	19720734	19728901
LOC100117063	NC_045759.1	21312741	21316653
LOC100117064	NC_045760.1	25568499	25571541
LOC100117067	NC_045759.1	13666743	13670329
LOC100117068	NC_045758.1	33245019	33266300
LOC100117069	NC_045759.1	18395261	18429848
LOC100117070	NC_045760.1	16972820	16975814
LOC100117071	NC_045761.1	13122513	13186514
LOC100117073	NC_045760.1	8142805	8149932
LOC100117077	NC_045760.1	14424728	14430587
LOC100117078	NC_045758.1	2598426	2604982
LOC100117083	NC_045757.1	5199248	5204882
LOC100117084	NC_045759.1	9135052	9137512
LOC100117086	NC_045760.1	26211534	26217505
LOC100117087	NC_045757.1	37391662	37394386
LOC100117088	NW_022279644.1	29762	299971
LOC100117090	NC_045761.1	16683746	16696612
LOC100117091	NC_045758.1	425154	431420
LOC100117092	NC_045757.1	4302368	4308430
LOC100117093	NC_045757.1	7871136	7873531
LOC100117094	NC_045761.1	15486641	15491725
LOC100117097	NC_045757.1	3667273	3669689
LOC100117098	NC_045758.1	24466173	24469706
LOC100117099	NW_022279806.1	21256	23536
LOC100117102	NC_045757.1	32044298	32049198
LOC100117103	NC_045758.1	33243788	33245738
LOC100117104	NC_045758.1	35051881	35055307
LOC100117105	NC_045760.1	16974227	16976863
LOC100117106	NC_045761.1	12795050	12796481
LOC100117107	NC_045759.1	23986146	23989480
LOC100117108	NC_045760.1	8151521	8200923
LOC100117110	NC_045758.1	9261670	9263598
LOC100117113	NC_045760.1	10503738	10507496
LOC100117115	NC_045758.1	2583235	2607242
LOC100117117	NC_045760.1	4472736	4555034
LOC100117118	NW_022279613.1	1099797	1822313
LOC100117119	NC_045759.1	9126148	9128506
LOC100117120	NC_045757.1	37387543	37391536
LOC100117122	NC_045759.1	10792192	10793198
LOC100117124	NC_045758.1	7901634	7912594
LOC100117126	NC_045760.1	32626482	32627587
LOC100117129	NC_045758.1	422076	424746
LOC100117130	NC_045758.1	21416014	21418346
LOC100117132	NC_045757.1	4308420	4310837
LOC100117135	NC_045758.1	24463718	24465602
LOC100117136	NC_045759.1	21320771	21325861
LOC100117139	NC_045757.1	32048596	32054955
LOC100117141	NC_045759.1	18465347	18468443
LOC100117143	NC_045758.1	35048375	35050632
LOC100117144	NC_045760.1	17012526	17339233
LOC100117145	NC_045761.1	12745792	12747254
LOC100117147	NC_045760.1	8199976	8202718
LOC100117151	NC_045760.1	14415167	14424601
LOC100117152	NC_045760.1	10500821	10503581
LOC100117153	NC_045758.1	2607215	2611486
LOC100117157	NC_045759.1	9093123	9094399
LOC100117158	NC_045757.1	37368225	37385867
LOC100117159	NC_045758.1	23858138	23911142
LOC100117160	NC_045757.1	29632842	29633833
LOC100117161	NC_045760.1	23696811	23838847
LOC100117162	NC_045759.1	10795917	10797005
LOC100117163	NC_045760.1	32606852	32617137
LOC100117164	NW_022279600.1	1616143	1977817
LOC100117166	NC_045757.1	4311519	4329327
LOC100117167	NC_045757.1	10988457	10998882
LOC100117168	NC_045757.1	17312626	17324470
LOC100117170	NC_045757.1	3802488	3827485
LOC100117171	NC_045761.1	19729001	19744267
LOC100117172	NC_045758.1	24455422	24462672
LOC100117173	NW_022279591.1	316637	317951
LOC100117174	NW_022279640.1	1525821	1567002
LOC100117175	NC_045758.1	29600432	29602062
LOC100117176	NC_045759.1	13798938	13933075
LOC100117178	NC_045758.1	33238351	33243397
LOC100117179	NC_045759.1	18467322	18593021
LOC100117180	NC_045758.1	35044738	35047482
LOC100117183	NC_045761.1	12709376	12733894
LOC100117184	NC_045759.1	24169186	24173616
LOC100117185	NW_022279623.1	3997660	4000456
LOC100117186	NC_045758.1	9239516	9241325
LOC100117187	NC_045760.1	14409789	14414790
LOC100117188	NC_045760.1	10495505	10501010
LOC100117190	NC_045758.1	2611902	2615083
LOC100117192	NC_045757.1	5156838	5194623
LOC100117195	NC_045759.1	9089065	9090998
LOC100117197	NC_045760.1	26198913	26200523
LOC100117200	NC_045757.1	29574365	29575400
LOC100117202	NC_045758.1	7892919	7901521
LOC100117203	NC_045760.1	32574082	32582036
LOC100117208	NC_045757.1	17330994	17406252
LOC100117209	NC_045757.1	3826764	3832760
LOC100117210	NC_045761.1	19748670	19760701
LOC100117211	NC_045759.1	21328972	21331235
LOC100117212	NC_045758.1	29759557	29762336
LOC100117213	NC_045757.1	32055046	32067010
LOC100117216	NC_045758.1	33227093	33238244
LOC100117218	NC_045758.1	35035836	35044163
LOC100117219	NC_045757.1	25156170	25176226
LOC100117222	NC_045759.1	24173617	24181224
LOC100117224	NC_045760.1	8208298	8210510
LOC100117225	NC_045760.1	14405460	14409628
LOC100117227	NC_045760.1	10482851	10489671
LOC100117231	NC_045758.1	2615005	2622943
LOC100117234	NW_022279646.1	608674	696088
LOC100117235	NC_045760.1	4399767	4413601
LOC100117237	NC_045759.1	9050640	9057220
LOC100117238	NC_045760.1	26196650	26198831
LOC100117239	NC_045757.1	8182937	8185116
LOC100117244	NC_045758.1	386734	402247
LOC100117246	NC_045757.1	10962629	10965663
LOC100117248	NC_045757.1	3840279	3842025
LOC100117249	NC_045761.1	19761700	19764765
LOC100117251	NC_045757.1	32066225	32086797
LOC100117252	NC_045758.1	33224150	33228558
LOC100117253	NC_045759.1	18595809	18607170
LOC100117257	NC_045759.1	24193860	24196213
LOC100117258	NC_045760.1	8217026	8224252
LOC100117259	NC_045761.1	27455378	27459206
LOC100117261	NW_022279623.1	3866109	3996859
LOC100117262	NC_045758.1	9184748	9239197
LOC100117263	NC_045758.1	2623091	2628267
LOC100117265	NC_045760.1	4228711	4346573
LOC100117267	NC_045757.1	20166503	20229261
LOC100117268	NC_045757.1	5150172	5152714
LOC100117269	NC_045759.1	8376782	8397503
LOC100117272	NC_045761.1	8847046	8850423
LOC100117274	NC_045759.1	10801858	10805232
LOC100117275	NC_045758.1	7888694	7890753
LOC100117276	NC_045761.1	20442820	20450264
LOC100117277	NC_045758.1	328918	333527
LOC100117279	NC_045758.1	21611999	21616479
LOC100117280	NC_045757.1	4351235	4371549
LOC100117281	NC_045757.1	10960491	10962321
LOC100117282	NC_045757.1	12743585	12750128
LOC100117284	NC_045761.1	19764965	19769372
LOC100117285	NC_045758.1	24150976	24349553
LOC100117286	NC_045759.1	21335194	21337411
LOC100117287	NC_045758.1	29906309	29907754
LOC100117288	NC_045757.1	32088375	32090593
LOC100117290	NC_045759.1	13973376	13990180
LOC100117294	NC_045758.1	35001003	35037303
LOC100117297	NC_045761.1	27446756	27455037
LOC100117299	NW_022279623.1	3852353	3856127
LOC100117301	NW_022279590.1	2028737	2029135
LOC100117304	NC_045760.1	14376607	14403278
LOC100117305	NC_045758.1	2637734	2646532
LOC100117310	NC_045757.1	21479753	21486071
LOC100117314	NC_045759.1	10808209	10809236
LOC100117315	NC_045758.1	7882232	7888027
LOC100117318	NC_045761.1	20450274	20451635
LOC100117320	NC_045758.1	21615907	21619081
LOC100117322	NC_045757.1	4373378	4375955
LOC100117323	NC_045757.1	10956418	10960545
LOC100117327	NC_045757.1	3977600	3978125
LOC100117328	NC_045761.1	19771044	19773956
LOC100117329	NC_045759.1	21364884	21373459
LOC100117331	NC_045758.1	30179006	30185860
LOC100117332	NC_045757.1	32096921	32110483
LOC100117333	NC_045759.1	13990469	13993487
LOC100117334	NW_022279624.1	2923509	2925858
LOC100117336	NC_045758.1	34928553	34936225
LOC100117338	NC_045759.1	24207794	24224998
LOC100117339	NC_045761.1	27408310	27445624
LOC100117342	NC_045758.1	2651569	2662944
LOC100117343	NC_045760.1	4222465	4226193
LOC100117346	NC_045757.1	28484136	28485187
LOC100117351	NC_045759.1	10842580	10848546
LOC100117352	NC_045758.1	7880243	7882715
LOC100117353	NW_022279639.1	436298	1615444
LOC100117354	NC_045761.1	16738327	16738994
LOC100117356	NC_045758.1	21617035	21620695
LOC100117357	NC_045757.1	4376029	4571978
LOC100117358	NC_045757.1	10951820	10956220
LOC100117360	NC_045757.1	12675801	12676837
LOC100117361	NC_045761.1	9796663	9800263
LOC100117363	NC_045759.1	21378175	21388507
LOC100117364	NC_045760.1	25683115	25688702
LOC100117365	NC_045758.1	30648137	30650588
LOC100117366	NW_022279624.1	2925948	2929319
LOC100117367	NC_045758.1	33187868	33208111
LOC100117369	NW_022279655.1	1575768	1581702
LOC100117370	NC_045758.1	34910967	34921292
LOC100117371	NC_045761.1	14056112	14077515
LOC100117372	NC_045759.1	24224847	24227503
LOC100117374	NC_045760.1	8231787	8254793
LOC100117375	NC_045760.1	14361149	14365636
LOC100117376	NC_045758.1	2663315	2694686
LOC100117378	NC_045760.1	4218301	4222965
LOC100117379	NC_045757.1	28666342	28677463
LOC100117380	NC_045757.1	20329950	20331566
LOC100117381	NC_045759.1	8288047	8289594
LOC100117386	NC_045761.1	20435751	20437472
LOC100117388	NC_045758.1	21620985	21623286
LOC100117389	NC_045757.1	10951683	10956371
LOC100117390	NC_045757.1	12665710	12675042
LOC100117392	NC_045757.1	3983844	3984273
LOC100117393	NC_045760.1	25677947	25682978
LOC100117394	NC_045757.1	32114656	32127250
LOC100117395	NC_045759.1	13994613	14162468
LOC100117396	NW_022279624.1	2930174	2962650
LOC100117397	NC_045758.1	33182315	33185294
LOC100117398	NC_045758.1	34907333	34910675
LOC100117399	NC_045760.1	17398668	17399566
LOC100117400	NC_045761.1	14038189	14055156
LOC100117401	NC_045759.1	24227374	24233368
LOC100117402	NC_045761.1	27402043	27408090
LOC100117404	NC_045758.1	9053105	9142597
LOC100117407	NC_045759.1	3834285	3861841
LOC100117409	NC_045757.1	28752555	28753989
LOC100117410	NC_045757.1	5108669	5113860
LOC100117412	NC_045759.1	8262252	8265619
LOC100117414	NC_045758.1	23988859	23989697
LOC100117418	NC_045761.1	20333419	20334201
LOC100117419	NC_045758.1	247569	282530
LOC100117420	NC_045758.1	21623569	21630041
LOC100117421	NC_045757.1	10947310	10951433
LOC100117423	NC_045757.1	12656721	12658867
LOC100117424	NW_022279600.1	448344	829297
LOC100117425	NC_045757.1	54820	61373
LOC100117426	NC_045761.1	19788533	19793382
LOC100117427	NC_045759.1	21396048	21399406
LOC100117428	NC_045760.1	25665404	25666657
LOC100117429	NC_045758.1	27822849	27825850
LOC100117430	NC_045757.1	32127423	32137255
LOC100117432	NC_045759.1	14069376	14072774
LOC100117435	NC_045758.1	33179813	33203026
LOC100117437	NC_045759.1	18834643	18841538
LOC100117440	NC_045761.1	14030573	14031825
LOC100117441	NC_045759.1	24264088	24269985
LOC100117442	NC_045761.1	27396906	27401821
LOC100117444	NC_045760.1	10458464	10460206
LOC100117445	NW_022279657.1	459387	534088
LOC100117446	NC_045758.1	2700199	2702200
LOC100117449	NC_045758.1	16389838	16394167
LOC100117450	NC_045760.1	4192277	4210113
LOC100117452	NC_045757.1	28825871	28827332
LOC100117454	NC_045757.1	5081568	5105098
LOC100117455	NC_045759.1	8261081	8262005
LOC100117456	NC_045760.1	26093160	26175027
LOC100117457	NC_045761.1	8664921	8681742
LOC100117458	NC_045758.1	23991319	23992403
LOC100117459	NC_045759.1	10844833	10845694
LOC100117460	NC_045758.1	7859845	7864751
LOC100117462	NC_045761.1	20279094	20323533
LOC100117464	NC_045758.1	21629715	21633646
LOC100117466	NC_045757.1	4596736	4599017
LOC100117467	NC_045757.1	10928515	10948108
LOC100117468	NC_045758.1	27773432	27779540
LOC100117470	NC_045757.1	65587	69067
LOC100117471	NC_045759.1	21399568	21405548
LOC100117472	NC_045760.1	25640255	25654127
LOC100117474	NC_045758.1	27825297	27849203
LOC100117475	NC_045757.1	32144237	32148940
LOC100117476	NW_022279617.1	308519	1053744
LOC100117477	NC_045759.1	14073183	14075714
LOC100117478	NC_045758.1	33166619	33175369
LOC100117480	NC_045759.1	18889346	18891364
LOC100117481	NC_045758.1	34896316	34906364
LOC100117482	NC_045757.1	25286973	25290687
LOC100117483	NC_045760.1	17442162	17448398
LOC100117484	NC_045761.1	14026117	14030585
LOC100117485	NC_045759.1	24312827	24314414
LOC100117487	NC_045761.1	27378359	27392532
LOC100117488	NW_022279623.1	3697371	3850411
LOC100117489	NC_045758.1	9049577	9053097
LOC100117492	NC_045760.1	10451319	10457879
LOC100117494	NC_045758.1	2702107	2706009
LOC100117496	NC_045759.1	10921757	11008670
LOC100117497	NC_045760.1	4197076	4202889
LOC100117498	NC_045757.1	28893114	28899396
LOC100117499	NC_045757.1	5071196	5081232
LOC100117500	NC_045759.1	8253209	8255615
LOC100117501	NC_045760.1	25973618	26088593
LOC100117505	NC_045761.1	20103359	20104852
LOC100117506	NC_045758.1	245210	246732
LOC100117507	NC_045758.1	21633989	21637179
LOC100117510	NC_045758.1	27768557	27770509
